,word,cluster0,cluster1,cluster2,cluster3,cluster4
343,across,0.04930692386641479,0.05627974731725575,0.08241344741844783,0.058485071295964905,0.021444564738271346
490,also,0.09509192459951424,0.03617983756109298,0.04807451099409457,0.06530832961382749,0.050037317722633146
768,back,0.06339461639967615,0.06833969317095341,0.10988459655793045,0.07603059268475439,0.035740941230452246
881,beach,0.07396038579962219,0.04823978341479064,0.04807451099409457,0.061409324860763156,0.050037317722633146
915,beechworth,0.0,0.054451368853050124,0.0,0.008251986130800864,0.0
956,bendigo,0.05366820800989548,0.0,0.0,0.0363087389755238,0.0
1008,bird,0.04226307759978411,0.05225976536602319,0.020603361854611958,0.03801529634237719,0.028592752984361796
1010,birds,0.06339461639967615,0.07637965707341851,0.027471149139482613,0.0750558414964883,0.04288912947654269
1113,boronia,0.0,0.0,0.0,0.0,0.060005102779833445
1146,boy,0.0,0.0,0.05765129116795259,0.0,0.0
1193,bridge,0.0669165395329915,0.05627974731725575,0.16482689483689567,0.107222630709269,0.035740941230452246
1242,building,0.05282884699973013,0.03215985560986043,0.03433893642435327,0.07700534387302047,0.09292644719917584
1243,buildings,0.028175385066522736,0.01205994585369766,0.006867787284870653,0.024368779706652046,0.050037317722633146
1490,chai,0.0,0.0,0.0,0.0,0.060005102779833445
1536,check,0.024653461933207395,0.016079927804930214,0.054942298278965226,0.015596019012257309,0.021444564738271346
1552,children,0.0669165395329915,0.0602997292684883,0.03433893642435327,0.05068706178983625,0.050037317722633146
1585,church,0.03169730819983808,0.016079927804930214,0.06181008556383588,0.0321667892127807,0.021444564738271346
1603,city,0.04930692386641479,0.08039963902465107,0.041206723709223916,0.04678805703677193,0.014296376492180898
1667,club,0.028175385066522736,0.03617983756109298,0.006867787284870653,0.030217286836248535,0.05718550596872359
1761,community,0.04226307759978411,0.07235967512218595,0.020603361854611958,0.03704054515411111,0.05718550596872359
1856,continue,0.007043846266630684,0.01205994585369766,0.08928123470331849,0.024368779706652046,0.007148188246090449
1892,coomoora,0.0,0.0590546846615645,0.0,0.0,0.0
1955,court,0.016656182567560154,0.0,0.016239865908755997,0.023049386847950222,0.06761165644299126
2004,creek,0.038741154466468766,0.040199819512325534,0.06181008556383588,0.11599539140366373,0.04288912947654269
2026,cross,0.03521923133315342,0.028139873658627874,0.06181008556383588,0.04093954990717544,0.014296376492180898
2174,deck,0.0,0.0,0.05765129116795259,0.0,0.0
2487,dunolly,0.0517380581712405,0.0,0.0,0.0,0.0
2521,easy,0.05939928092776431,0.016949833103045788,0.0,0.021919660547119205,0.0
