,word,cluster0,cluster1,cluster2,cluster3,cluster4
6807,site,0.04226307759978411,0.040199819512325534,0.027471149139482613,0.07018208555515788,0.04288912947654269
6858,small,0.028175385066522736,0.04823978341479064,0.020603361854611958,0.04483855466023976,0.09292644719917584
6977,species,0.024984273851340225,0.06178784714524333,0.008119932954377998,0.027659264217540263,0.0
7089,start,0.05635077013304547,0.040199819512325534,0.06867787284870654,0.04191430109544152,0.05718550596872359
7098,station,0.04226307759978411,0.020099909756162767,0.020603361854611958,0.0692073343668918,0.07148188246090449
7157,stop,0.028175385066522736,0.07637965707341851,0.041206723709223916,0.0536113153546345,0.06433369421481404
7195,street,0.04578500073309945,0.05627974731725575,0.08241344741844783,0.08772760694394736,0.04288912947654269
7410,take,0.07748230893293753,0.10049954878081382,0.08241344741844783,0.08382860219088303,0.04288912947654269
7505,theatre,0.009899880154627385,0.0,0.0,0.012329809057754552,0.05023264583034512
7525,they,0.010565769399946027,0.05225976536602319,0.020603361854611958,0.03411629158931286,0.028592752984361796
7613,toilets,0.028175385066522736,0.020099909756162767,0.03433893642435327,0.03704054515411111,0.05718550596872359
7659,town,0.03169730819983808,0.04823978341479064,0.020603361854611958,0.025343530894918125,0.05718550596872359
7680,trail,0.08100423206625287,0.05225976536602319,0.020603361854611958,0.07310633911995613,0.014296376492180898
7727,tree,0.05987269326636081,0.03617983756109298,0.04807451099409457,0.0643335784255614,0.028592752984361796
7917,used,0.03521923133315342,0.03215985560986043,0.07554566013357719,0.06043457367249707,0.05718550596872359
7996,victoria,0.05282884699973013,0.03617983756109298,0.027471149139482613,0.0321667892127807,0.028592752984361796
8008,views,0.06339461639967615,0.05225976536602319,0.08928123470331849,0.042889052283707596,0.050037317722633146
8071,walking,0.06339461639967615,0.06431971121972085,0.04807451099409457,0.0965003676383421,0.06433369421481404
8113,watch,0.04226307759978411,0.0602997292684883,0.041206723709223916,0.0321667892127807,0.021444564738271346
8187,well,0.08804807833288356,0.03617983756109298,0.07554566013357719,0.07213158793169006,0.050037317722633146
8277,windmill,0.0,0.0,0.05765129116795259,0.0,0.0
8292,winter,0.004164045641890038,0.004752911318864872,0.0,0.0103722240815776,0.05070874233224345
8315,women,0.1267892327993523,0.004019981951232553,0.006867787284870653,0.008772760694394735,0.021444564738271346
8319,wonderful,0.04226307759978411,0.05627974731725575,0.03433893642435327,0.03314154040104678,0.014296376492180898
8329,woodland,0.004164045641890038,0.02376455659432436,0.0,0.012677162766372622,0.05916019938761736
8404,years,0.05635077013304547,0.020099909756162767,0.027471149139482613,0.04873755941330409,0.035740941230452246
